Age,Forest,Size,Config,Value
16,natural_forest,large,central,94.98296383
17,natural_forest,large,central,106.0028136
18,natural_forest,large,central,117.3163276
19,natural_forest,large,central,128.6814552
20,natural_forest,large,central,139.7830773
21,natural_forest,large,central,149.86904
22,natural_forest,large,central,159.5380872
23,natural_forest,large,central,169.2440808
24,natural_forest,large,central,178.6778844
25,natural_forest,large,central,187.4251222
26,natural_forest,large,central,196.1032027
27,natural_forest,large,central,204.7672773
28,natural_forest,large,central,212.591062
29,natural_forest,large,central,220.3485336
30,natural_forest,large,central,227.6102726
31,natural_forest,large,central,234.3536259
32,natural_forest,large,central,241.0685078
33,natural_forest,large,central,246.7465469
34,natural_forest,large,central,253.0021555
35,natural_forest,large,central,258.2362024
36,natural_forest,large,central,263.6029995
37,natural_forest,large,central,267.9279849
38,natural_forest,large,central,273.0893688
39,natural_forest,large,central,277.2296244
40,natural_forest,large,central,280.9914635
41,natural_forest,large,central,285.0740538
42,natural_forest,large,central,288.8310916
43,natural_forest,large,central,292.2698294
44,natural_forest,large,central,295.4019437
45,natural_forest,large,central,298.2309185
46,natural_forest,large,central,301.55006
47,natural_forest,large,central,303.828874
48,natural_forest,large,central,306.6420752
49,natural_forest,large,central,309.2146022
50,natural_forest,large,central,311.5631393
51,natural_forest,large,central,313.9116764
52,natural_forest,large,central,316.2602135
53,natural_forest,large,central,318.6087505
54,natural_forest,large,central,320.9572876
55,natural_forest,large,central,323.3058247
56,natural_forest,large,central,325.6543618
57,natural_forest,large,central,328.0028988
58,natural_forest,large,central,330.3514359
59,natural_forest,large,central,332.699973
60,natural_forest,large,central,335.0485101
61,natural_forest,large,central,337.3970471
62,natural_forest,large,central,339.7455842
63,natural_forest,large,central,342.0941213
64,natural_forest,large,central,344.4426584
65,natural_forest,large,central,346.7911954
66,natural_forest,large,central,349.1397325
67,natural_forest,large,central,351.4882696
68,natural_forest,large,central,353.8368067
69,natural_forest,large,central,356.1853437
70,natural_forest,large,central,358.5338808
71,natural_forest,large,central,360.8824179
72,natural_forest,large,central,363.230955
73,natural_forest,large,central,365.579492
74,natural_forest,large,central,367.9280291
75,natural_forest,large,central,370.2765662
76,natural_forest,large,central,372.6251033
77,natural_forest,large,central,374.9736403
78,natural_forest,large,central,377.3221774
79,natural_forest,large,central,379.6707145
80,natural_forest,large,central,382.0192516
81,natural_forest,large,central,384.3677886
82,natural_forest,large,central,386.7163257
83,natural_forest,large,central,389.0648628
84,natural_forest,large,central,391.4133999
85,natural_forest,large,central,393.7619369
86,natural_forest,large,central,396.110474
87,natural_forest,large,central,398.4590111
88,natural_forest,large,central,400.8075482
89,natural_forest,large,central,403.1560852
90,natural_forest,large,central,405.5046223
91,natural_forest,large,central,407.8531594
92,natural_forest,large,central,410.2016965
93,natural_forest,large,central,412.5502335
94,natural_forest,large,central,414.8987706
95,natural_forest,large,central,417.2473077
96,natural_forest,large,central,419.5958448
97,natural_forest,large,central,421.9443818
98,natural_forest,large,central,424.2929189
99,natural_forest,large,central,426.641456
100,natural_forest,large,central,428.9899931
101,natural_forest,large,central,431.3385301
102,natural_forest,large,central,433.6870672
103,natural_forest,large,central,436.0356043
104,natural_forest,large,central,438.3841414
105,natural_forest,large,central,440.7326784
106,natural_forest,large,central,443.0812155
107,natural_forest,large,central,445.4297526
108,natural_forest,large,central,447.7782897
109,natural_forest,large,central,450.1268267
110,natural_forest,large,central,452.4753638
1,natural_forest,small,central,0.6
2,natural_forest,small,central,1.2
3,natural_forest,small,central,2.5
4,natural_forest,small,central,4.6
5,natural_forest,small,central,7.8
6,natural_forest,small,central,12.1
7,natural_forest,small,central,17.5
8,natural_forest,small,central,24.0
9,natural_forest,small,central,31.6
10,natural_forest,small,central,40.2
11,natural_forest,small,central,49.8
12,natural_forest,small,central,60.3
13,natural_forest,small,central,71.5
14,natural_forest,small,central,83.3
15,natural_forest,small,central,95.5
16,natural_forest,small,central,108.1
17,natural_forest,small,central,120.8
18,natural_forest,small,central,133.6
19,natural_forest,small,central,146.3
20,natural_forest,small,central,158.7
21,natural_forest,small,central,170.9
22,natural_forest,small,central,182.6
23,natural_forest,small,central,193.9
24,natural_forest,small,central,204.7
25,natural_forest,small,central,215.0
26,natural_forest,small,central,224.6
27,natural_forest,small,central,233.7
28,natural_forest,small,central,242.2
29,natural_forest,small,central,250.1
30,natural_forest,small,central,257.5
31,natural_forest,small,central,264.3
32,natural_forest,small,central,270.6
33,natural_forest,small,central,276.3
34,natural_forest,small,central,281.6
35,natural_forest,small,central,286.5
36,natural_forest,small,central,290.9
37,natural_forest,small,central,295.0
38,natural_forest,small,central,298.7
39,natural_forest,small,central,302.0
40,natural_forest,small,central,305.1
41,natural_forest,small,central,307.8
42,natural_forest,small,central,310.4
43,natural_forest,small,central,312.6
44,natural_forest,small,central,314.7
45,natural_forest,small,central,316.5
46,natural_forest,small,central,318.2
47,natural_forest,small,central,319.7
48,natural_forest,small,central,321.1
49,natural_forest,small,central,322.3
50,natural_forest,small,central,323.4
51,natural_forest,small,central,325.4
52,natural_forest,small,central,327.4
53,natural_forest,small,central,329.4
54,natural_forest,small,central,331.4
